Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome_log
1,1,0,0,0,360.0,1.0,1,1,4.90527477843843,8.744806737401898
1,1,0,1,1,360.0,1.0,2,1,4.574710978503383,8.454466361507933
0,0,0,0,0,360.0,1.0,2,1,4.48863636973214,8.134760782418645
1,1,1,0,0,360.0,1.0,2,1,3.8066624897703196,8.639410824140487
1,1,0,0,0,360.0,1.0,2,1,4.976733742420574,8.669399124305569
0,1,0,0,0,360.0,0.0,2,0,4.795790545596741,8.713746330456916
0,0,0,0,0,360.0,1.0,1,1,4.976733742420574,8.744488113852924
0,1,0,1,0,360.0,1.0,1,1,4.61512051684126,8.181160858023409
0,0,0,0,0,360.0,1.0,1,1,4.795790545596741,8.034955024502159
0,0,0,0,0,360.0,1.0,1,0,4.727387818712341,8.350193650720067
1,1,2,0,0,360.0,1.0,2,0,4.90527477843843,8.43750042250699
0,1,1,0,1,360.0,0.0,2,0,5.659482215759621,9.350189267092581
1,1,2,0,0,360.0,1.0,1,1,4.584967478670572,8.262558973010657
1,1,0,0,0,360.0,1.0,1,1,4.574710978503383,8.222553638396958
1,1,0,0,0,360.0,1.0,0,0,4.912654885736052,8.624611588183507
1,1,1,0,0,360.0,1.0,2,1,5.198497031265826,9.242904362849446
1,1,2,1,0,360.0,1.0,2,1,4.976733742420574,8.735042754269337
1,1,0,0,0,360.0,1.0,2,1,4.795790545596741,8.747828608488742
1,1,3,0,0,360.0,1.0,2,1,4.605170185988092,8.016317898503415
1,1,0,1,1,180.0,0.0,0,0,5.111987788356544,8.70930004894499
1,1,1,0,0,360.0,0.0,0,0,4.859812404361672,8.506334448081361
0,0,0,0,0,360.0,0.0,1,0,4.762173934797756,8.334951631422454
1,1,0,0,0,360.0,1.0,1,0,5.556828061699537,9.242032818708672
1,0,0,1,0,180.0,0.0,2,0,4.844187086458591,8.604287898267172
1,1,1,0,0,360.0,1.0,2,1,5.746203190540153,9.282754052485227
1,1,3,1,1,60.0,1.0,2,1,4.836281906951478,8.867990898182093
0,0,0,0,0,360.0,0.0,1,0,4.919980925828125,8.366602832783736
1,1,0,0,0,360.0,1.0,2,1,5.153291594497779,8.744328763999984
1,1,2,1,1,360.0,1.0,1,1,4.584967478670572,8.229777750081887
1,0,0,0,0,300.0,1.0,1,1,4.406719247264253,8.160803920954665
1,1,3,1,0,360.0,0.0,1,0,4.564348191467836,8.467162257810672
1,1,3,0,1,360.0,1.0,1,1,5.236441962829949,8.859505484519133
1,0,0,0,0,480.0,1.0,2,0,4.736198448394496,8.229777750081887
1,0,0,0,0,360.0,1.0,2,0,5.176149732573829,9.04793908261736
1,1,1,0,1,360.0,1.0,2,0,4.709530201312334,8.299783171949787
1,1,3,0,0,300.0,0.0,1,0,5.198497031265826,8.877381954654766
1,1,3,1,1,360.0,1.0,1,1,4.875197323201151,8.612503371220562
0,0,0,0,0,360.0,1.0,1,1,4.718498871295094,8.255048902752295
1,1,1,0,1,360.0,1.0,1,1,4.859812404361672,7.78155595923534
0,1,2,0,0,360.0,1.0,2,0,5.123963979403259,8.089482474360754
1,1,0,0,0,360.0,1.0,1,0,5.583496308781699,9.018089684104343
1,1,1,0,0,240.0,1.0,2,1,3.9318256327243257,8.291295851905407
1,0,0,0,0,360.0,1.0,1,1,4.919980925828125,8.496582237512113
1,1,2,1,0,360.0,1.0,1,1,4.605170185988092,8.58185670474196
1,1,0,0,0,360.0,1.0,1,1,4.653960350157523,8.437933510430605
1,0,0,0,0,360.0,1.0,2,1,5.351858133476067,9.055672891964043
1,1,0,0,0,360.0,1.0,1,1,5.170483995038151,9.196545660953994
1,1,0,0,0,360.0,1.0,1,1,4.882801922586371,8.675734219544788
1,1,2,0,0,180.0,1.0,1,1,5.241747015059643,9.384713758920963
1,1,2,1,0,360.0,1.0,2,1,4.406719247264253,8.535818655539403
1,0,0,0,0,360.0,1.0,1,1,4.812184355372417,8.327000740241713
1,0,0,1,0,120.0,1.0,1,1,3.258096538021482,8.19450550976564
1,0,0,0,0,360.0,1.0,2,0,4.859812404361672,8.82217476094608
0,1,0,0,0,360.0,1.0,1,1,4.927253685157205,8.473659189392508
1,1,0,0,0,360.0,1.0,1,1,3.9318256327243257,7.99799931797973
1,1,0,1,0,180.0,1.0,1,1,4.7535901911063645,8.340217320947035
1,1,0,0,0,360.0,1.0,1,1,4.882801922586371,8.575650760987806
1,1,2,1,0,180.0,1.0,2,1,4.897839799950911,8.929567707825337
1,0,0,0,0,360.0,1.0,1,1,5.0238805208462765,9.065314599925925
1,1,0,0,0,360.0,1.0,2,1,4.859812404361672,9.521568058002977
1,1,0,0,0,360.0,1.0,1,1,4.859812404361672,9.01627006814768
1,1,0,0,0,360.0,1.0,2,1,5.081404364984463,8.427487278331744
1,1,1,0,0,360.0,1.0,2,1,4.61512051684126,8.314587291319576
1,1,2,0,0,360.0,1.0,2,1,5.420534999272286,9.436997742590188
1,0,0,1,0,360.0,1.0,0,0,4.795790545596741,8.900276348631271
1,1,2,0,0,360.0,0.0,2,0,5.37989735354046,8.909370405197466
1,1,3,1,0,480.0,1.0,1,1,4.553876891600541,7.946617563244473
1,0,0,0,0,360.0,1.0,2,1,4.919980925828125,8.57866451350434
0,1,0,0,0,360.0,1.0,1,1,4.941642422609304,8.56845648535378
1,1,0,1,0,360.0,0.0,0,0,5.030437921392435,8.947285869349132
0,0,1,0,1,360.0,1.0,1,1,4.859812404361672,8.916237731721479
1,0,0,0,0,360.0,1.0,1,1,4.77912349311153,8.527341522468053
1,1,1,0,0,180.0,1.0,0,1,5.225746673713202,9.5876803163585
0,1,0,0,0,360.0,1.0,1,1,5.043425116919247,8.603554357064281
1,1,1,0,0,360.0,1.0,2,1,4.454347296253507,8.19229373114764
1,1,0,0,0,360.0,1.0,0,0,5.170483995038151,8.95040315983296
0,0,0,0,0,360.0,1.0,2,1,5.560681631015528,9.250426095515468
1,1,0,0,0,360.0,1.0,0,1,5.198497031265826,9.028218795184895
0,0,0,0,0,360.0,1.0,1,1,3.8066624897703196,8.334951631422454
0,0,0,0,0,360.0,0.0,1,1,4.927253685157205,9.316320695513415
1,1,2,0,0,360.0,1.0,1,1,4.406719247264253,7.992268643270745
1,1,0,1,0,360.0,1.0,0,1,5.272999558563747,8.750683034784592
0,0,0,0,0,360.0,1.0,0,1,4.543294782270004,8.214194414852564
1,1,3,0,0,360.0,1.0,0,1,5.916202062607435,10.077608912764743
1,0,0,0,0,360.0,1.0,0,1,4.859812404361672,8.613593685702552
1,1,1,0,1,180.0,0.0,2,0,5.081404364984463,9.572480355345974
1,1,0,0,0,360.0,1.0,0,0,5.209486152841421,9.065314599925925
1,0,0,0,1,480.0,1.0,2,1,6.478509642208569,9.911802884139842
1,0,0,0,0,360.0,1.0,2,1,4.31748811353631,8.279950715722526
1,0,0,0,0,360.0,1.0,1,1,4.2626798770413155,7.908019444632471
1,1,0,0,1,120.0,1.0,1,1,3.258096538021482,8.14902386805177
1,0,0,0,0,360.0,1.0,1,1,4.634728988229636,8.496173824192162
1,1,3,0,0,360.0,1.0,1,0,5.673323267171493,9.371693622333941
0,1,0,0,0,360.0,1.0,0,0,4.442651256490317,8.430327258394575
1,1,2,0,1,360.0,1.0,2,1,4.48863636973214,8.827174771362785
1,0,0,0,0,360.0,0.0,1,0,5.493061443340548,9.615805480084347
1,1,2,1,0,360.0,1.0,0,0,4.867534450455582,8.636042325254618
1,1,2,0,0,360.0,1.0,0,0,5.225746673713202,8.871505346165781
1,0,0,0,0,360.0,1.0,2,1,5.1298987149230735,8.59748202264504
1,0,0,0,1,180.0,1.0,1,1,5.170483995038151,8.846640813100485
1,1,0,0,0,360.0,1.0,1,1,4.812184355372417,8.462314529906248
1,1,2,0,0,180.0,1.0,2,1,5.236441962829949,9.3722891389622
0,1,0,0,0,360.0,1.0,1,1,4.61512051684126,8.827174771362785
0,1,2,0,0,360.0,1.0,2,1,4.2626798770413155,9.60689927061335
1,1,1,0,0,360.0,1.0,2,1,3.4339872044851463,7.994294986415977
0,0,0,0,0,360.0,1.0,0,0,5.420534999272286,9.364519622823858
1,1,0,0,0,360.0,1.0,1,1,4.836281906951478,8.646641258603124
1,0,0,0,0,360.0,0.0,0,0,4.77912349311153,8.744806737401898
1,1,0,0,1,360.0,1.0,0,1,5.030437921392435,8.75273950944749
1,0,0,0,0,360.0,1.0,2,0,5.501258210544727,9.123365357961776
1,1,2,1,0,360.0,1.0,0,0,4.736198448394496,7.732807530422021
1,0,0,0,0,360.0,1.0,2,1,3.9318256327243257,8.08794755464267
1,1,3,0,0,180.0,0.0,1,1,6.398594934535208,10.596634733096073
1,1,1,0,0,360.0,1.0,0,1,5.081404364984463,8.699681400989514
1,1,1,0,0,360.0,1.0,2,1,5.236441962829949,9.163143937145207
1,0,0,0,0,360.0,1.0,0,1,4.795790545596741,8.529911963824013
1,1,0,0,0,360.0,1.0,1,1,5.545177444479562,9.231024963169016
1,1,0,1,0,360.0,1.0,1,1,4.59511985013459,7.974188669286011
1,1,0,0,0,360.0,1.0,2,0,5.62040086571715,8.978912601074276
1,1,1,0,0,360.0,0.0,1,0,4.804021044733257,8.382518288089635
1,1,2,0,0,360.0,1.0,0,1,5.0689042022202315,8.633196867172543
1,1,0,0,0,180.0,1.0,2,1,4.330733340286331,9.140347000155648
1,1,0,0,0,360.0,1.0,0,1,5.209486152841421,8.835501457409778
0,1,0,0,0,360.0,1.0,0,0,4.727387818712341,8.430327258394575
1,1,0,0,0,360.0,1.0,0,1,4.867534450455582,8.660947155060933
1,0,0,0,0,480.0,0.0,1,0,4.1588830833596715,7.71333788887187
1,1,2,0,0,360.0,1.0,1,1,5.303304908059076,8.987321812850125
1,1,0,1,0,360.0,1.0,0,1,4.564348191467836,8.185907481482324
1,1,3,0,0,300.0,1.0,2,1,6.55250788703459,10.85445020594156
1,1,3,1,0,180.0,1.0,0,0,4.406719247264253,8.167068178341237
1,1,0,0,0,360.0,1.0,1,1,5.236441962829949,9.335562336729565
1,1,0,1,1,360.0,1.0,1,0,4.477336814478207,8.533263371593732
1,1,0,0,0,360.0,1.0,0,1,4.762173934797756,8.60557030203365
1,1,2,0,0,360.0,1.0,0,1,4.624972813284271,8.206583614320753
1,1,3,0,0,360.0,0.0,1,0,6.206575926724928,9.73014555852275
1,1,1,0,0,360.0,1.0,1,1,4.762173934797756,8.229777750081887
1,0,0,1,0,480.0,0.0,2,0,4.634728988229636,8.23880116587155
1,1,1,0,0,360.0,0.0,2,0,5.198497031265826,9.521568058002977
1,0,0,0,0,360.0,1.0,0,0,4.219507705176107,8.850804195756417
1,1,0,0,0,180.0,1.0,1,1,4.30406509320417,8.434028950155469
1,1,1,0,0,360.0,1.0,1,0,5.564520407322694,10.429605648120413
0,1,0,0,0,360.0,1.0,1,1,4.6913478822291435,8.195885391314796
1,1,0,0,1,360.0,1.0,1,1,4.795790545596741,10.6896240399389
1,1,1,0,1,300.0,0.0,0,0,4.204692619390966,7.68662133494462
1,1,0,0,0,360.0,1.0,0,1,4.07753744390572,8.416709652837914
1,1,0,0,1,360.0,1.0,0,1,5.1298987149230735,8.694669696546992
1,1,0,0,0,180.0,1.0,0,1,5.241747015059643,9.140883106960962
1,0,0,1,0,360.0,1.0,0,1,3.8918202981106265,8.494129251817686
1,0,0,0,0,360.0,1.0,1,0,5.10594547390058,9.392745258631441
1,1,0,1,0,360.0,1.0,2,0,5.081404364984463,8.705165419719007
1,0,0,0,0,360.0,1.0,1,1,4.343805421853684,8.258163361537619
1,0,0,0,0,360.0,1.0,0,1,4.795790545596741,8.340933226000878
1,1,1,0,0,360.0,1.0,1,0,5.14166355650266,8.64979915596426
1,0,0,0,0,360.0,1.0,0,1,5.236441962829949,9.399637542506563
0,0,0,1,0,360.0,1.0,2,1,4.795790545596741,8.360071435644025
0,1,0,0,0,360.0,1.0,1,1,4.736198448394496,8.73761303680885
1,0,0,0,1,360.0,1.0,2,0,4.430816798843313,9.305741456739435
1,1,1,1,0,360.0,1.0,1,1,4.51085950651685,8.537191877922927
1,0,2,0,0,360.0,0.0,1,1,5.117993812416755,8.501876487304344
1,1,3,1,0,180.0,1.0,2,0,4.859812404361672,8.292298107063221
1,1,1,1,0,360.0,1.0,2,1,4.912654885736052,8.430327258394575
1,1,2,1,0,360.0,1.0,1,1,4.8283137373023015,8.273336598504486
0,0,0,1,0,360.0,1.0,1,1,4.795790545596741,8.391403185357937
0,0,0,0,0,360.0,1.0,2,1,4.394449154672439,8.08487062913819
1,0,0,1,0,360.0,1.0,0,1,4.02535169073515,8.780633799494984
1,0,0,0,0,360.0,1.0,2,1,4.0943445622221,7.8160138391590275
1,0,0,0,0,360.0,1.0,1,0,4.852030263919617,8.137103389639302
0,0,0,0,0,360.0,1.0,1,0,5.3706380281276624,9.210440366976517
1,1,3,0,0,360.0,0.0,1,0,4.859812404361672,8.45126704130007
1,1,1,0,1,360.0,1.0,2,1,5.484796933490655,8.960339366492091
1,1,3,1,1,360.0,1.0,0,1,4.875197323201151,8.648922962094131
1,1,0,0,0,360.0,1.0,2,1,4.927253685157205,8.731497794063243
1,1,3,1,0,360.0,1.0,1,1,4.61512051684126,8.483429561263428
1,1,0,0,0,360.0,1.0,0,0,4.912654885736052,7.576097340623111
1,1,0,0,0,360.0,1.0,1,1,4.882801922586371,8.613048677059759
1,1,2,0,0,360.0,0.0,1,0,4.290459441148391,8.517393171418904
0,1,2,0,0,360.0,1.0,1,1,4.852030263919617,8.80492526261806
1,1,0,0,0,360.0,0.0,2,0,4.110873864173311,7.706162970199576
1,1,2,0,0,360.0,1.0,1,1,4.762173934797756,8.652947112393857
1,0,0,0,0,360.0,1.0,1,1,4.976733742420574,8.659213451436667
1,1,0,0,0,360.0,1.0,1,1,5.170483995038151,9.058237593766226
1,1,0,0,0,360.0,1.0,1,1,4.859812404361672,8.740496729931813
1,1,0,0,0,360.0,1.0,0,0,5.14166355650266,8.086717920303906
1,1,0,1,1,360.0,1.0,2,0,4.9344739331306915,8.462948176563842
1,1,2,0,0,360.0,1.0,1,1,5.351858133476067,8.980423936374544
1,1,0,0,0,480.0,1.0,1,1,5.0689042022202315,8.46779284112111
1,0,0,0,1,360.0,1.0,0,1,5.303304908059076,8.764209507142004
1,1,1,0,0,360.0,1.0,1,1,4.653960350157523,8.422003004412488
1,1,0,0,0,180.0,1.0,0,1,3.7612001156935624,8.220672170297252
1,0,0,1,0,360.0,1.0,0,1,4.795790545596741,8.663542087751374
0,0,0,0,0,360.0,1.0,1,1,5.638354669333745,9.0280988119824
1,1,1,0,0,360.0,1.0,1,1,4.948759890378168,8.504107951867582
1,1,1,0,0,360.0,1.0,0,1,5.14166355650266,8.818926087090677
1,1,0,0,0,360.0,1.0,2,0,5.545177444479562,8.656433258507741
0,0,0,0,1,360.0,1.0,2,1,4.812184355372417,8.150179269682326
0,0,1,0,0,360.0,1.0,0,1,4.727387818712341,8.246171559857563
1,1,1,0,0,360.0,1.0,1,1,4.574710978503383,8.106514516255185
1,1,2,0,0,360.0,1.0,0,1,4.795790545596741,9.289151552400472
1,1,1,1,0,180.0,1.0,2,0,4.948759890378168,8.410498452745275
1,0,0,0,0,60.0,1.0,2,1,5.049856007249537,9.067277989134345
1,1,2,0,1,360.0,1.0,0,1,4.6913478822291435,8.929435283803425
1,1,0,1,0,360.0,1.0,1,1,4.820281565605037,8.964951211714654
1,0,0,0,1,180.0,1.0,2,0,4.795790545596741,9.248021438943871
1,1,2,0,0,360.0,1.0,2,1,4.727387818712341,9.180293450623886
1,1,1,1,0,180.0,1.0,2,1,4.927253685157205,8.796187635470453
1,1,1,0,0,480.0,1.0,1,1,4.820281565605037,8.460834457746854
1,1,0,0,0,360.0,1.0,2,1,4.51085950651685,8.210124405164267
1,1,0,1,0,360.0,0.0,1,0,5.308267697401205,8.62317351495347
0,0,2,0,0,360.0,1.0,2,0,4.9344739331306915,8.13973227971767
1,0,0,1,1,360.0,1.0,0,1,4.653960350157523,8.46611040118692
1,1,1,1,0,180.0,1.0,1,1,5.634789603169249,9.186355009225672
1,0,0,0,1,360.0,0.0,2,0,5.262690188904886,9.69590972432601
0,0,3,0,0,360.0,1.0,0,1,5.545177444479562,8.03398273468322
1,0,0,1,0,360.0,0.0,0,0,4.7535901911063645,8.707152175339404
1,1,3,0,0,360.0,1.0,2,0,4.553876891600541,8.566173813637858
1,1,0,0,0,360.0,1.0,0,0,5.720311776607412,9.728181330636078
1,1,3,1,0,360.0,1.0,1,0,4.859812404361672,8.503499864284235
1,1,1,0,0,360.0,1.0,2,1,5.802118375377063,9.24319470884713
1,0,0,0,0,360.0,1.0,1,1,4.90527477843843,8.35936910622267
0,0,1,0,0,36.0,1.0,1,0,5.049856007249537,8.155362120328135
0,0,0,0,0,360.0,1.0,0,1,4.795790545596741,8.881975184248867
1,0,0,0,1,360.0,1.0,1,1,4.859812404361672,8.550047528287184
1,0,0,0,0,360.0,1.0,0,1,5.0238805208462765,8.928375259853631
1,1,2,0,0,360.0,1.0,1,1,5.017279836814924,8.715388097366482
1,1,3,0,0,360.0,0.0,2,1,5.081404364984463,8.723394022000136
0,0,0,0,0,360.0,1.0,0,0,4.912654885736052,8.137103389639302
0,0,1,0,0,360.0,1.0,2,1,4.51085950651685,8.39773375137891
0,0,0,0,0,360.0,1.0,2,1,3.4339872044851463,8.08271113423758
1,1,0,0,0,360.0,1.0,2,1,4.919980925828125,9.318925682389624
1,0,0,0,0,360.0,1.0,0,1,4.844187086458591,8.453401058328458
1,1,0,0,0,360.0,1.0,1,1,5.017279836814924,8.485496104672983
1,1,2,0,0,360.0,1.0,1,1,4.51085950651685,8.268988209506656
1,1,1,0,0,360.0,1.0,1,1,4.7535901911063645,8.432288684325794
1,1,0,0,0,360.0,1.0,1,1,5.337538079701318,8.891236429516061
1,1,0,0,0,360.0,1.0,2,1,4.394449154672439,8.390268497842571
1,1,0,0,0,360.0,1.0,1,1,6.07993319509559,9.5876803163585
0,1,0,1,0,360.0,1.0,0,1,4.8283137373023015,8.31898612539206
1,0,1,1,1,360.0,0.0,2,0,5.0689042022202315,8.776475789346321
1,1,0,0,0,360.0,1.0,1,1,4.727387818712341,8.461257559085935
1,1,2,0,0,180.0,1.0,2,1,4.3694478524670215,8.097973923364721
0,0,0,0,0,360.0,1.0,2,1,4.007333185232471,8.154212694914229
1,1,0,0,0,360.0,1.0,0,0,4.859812404361672,9.936341889407075
1,0,0,0,0,360.0,1.0,0,1,4.499809670330265,8.734238184268579
0,0,0,0,1,300.0,1.0,1,0,4.605170185988092,8.370547611074752
1,1,0,0,0,360.0,1.0,0,1,4.795790545596741,8.649098262296176
0,0,0,0,0,360.0,1.0,1,1,4.7535901911063645,8.324821298768782
1,0,0,0,0,360.0,1.0,0,1,5.236441962829949,9.159993997539445
1,1,0,0,0,360.0,1.0,0,1,4.941642422609304,8.61104776688786
1,1,2,0,0,360.0,0.0,1,0,4.852030263919617,8.38958706681109
1,1,2,0,0,360.0,1.0,2,1,4.90527477843843,8.458292083496076
0,0,0,0,0,480.0,0.0,2,0,4.969813299576001,8.59748202264504
1,1,0,0,0,360.0,1.0,1,1,5.153291594497779,8.651374372882257
1,1,3,0,0,360.0,1.0,2,1,4.709530201312334,8.64241515616962
1,1,1,0,0,360.0,1.0,1,1,5.303304908059076,8.83579236650274
0,1,1,0,0,360.0,1.0,2,1,4.912654885736052,8.448271745949816
0,0,0,0,0,480.0,1.0,0,0,5.0238805208462765,8.928242677818302
1,1,1,0,0,360.0,1.0,2,0,4.736198448394496,8.505120610181969
1,1,0,1,0,360.0,0.0,2,0,4.543294782270004,8.462737005620179
1,1,0,1,0,360.0,1.0,1,1,4.663439094112067,8.439447842791385
0,0,0,0,0,360.0,1.0,0,1,4.890349128221754,8.517393171418904
1,1,1,0,0,360.0,1.0,2,1,4.574710978503383,8.14002395246292
1,0,0,0,0,360.0,1.0,0,1,4.948759890378168,8.77971129020447
1,0,0,1,0,360.0,1.0,2,0,4.859812404361672,7.601402334583733
0,0,0,0,0,360.0,1.0,0,1,4.912654885736052,8.599510233905452
0,0,0,0,0,360.0,0.0,2,0,4.653960350157523,8.357962965845681
1,0,0,0,0,360.0,1.0,0,0,6.175867270105761,9.915119636765835
1,1,2,1,0,360.0,1.0,0,1,5.225746673713202,8.944811104165534
0,0,0,0,0,360.0,1.0,1,1,4.442651256490317,7.978653729082731
1,0,0,1,0,360.0,1.0,1,1,4.718498871295094,8.581669210600602
0,0,0,0,0,360.0,1.0,0,1,4.04305126783455,7.827240901752812
1,1,2,0,1,84.0,1.0,0,1,4.976733742420574,8.656433258507741
1,1,0,0,0,360.0,1.0,0,0,5.075173815233827,8.370315995555478
1,1,1,1,0,180.0,1.0,2,1,4.718498871295094,8.525161361065415
1,1,2,0,0,360.0,1.0,1,1,4.795790545596741,8.220941168281389
1,1,0,0,0,360.0,1.0,2,1,4.48863636973214,8.341171747170762
0,0,1,0,0,360.0,1.0,1,1,4.727387818712341,8.17244681834278
1,1,1,0,1,360.0,1.0,0,0,5.049856007249537,9.210440366976517
1,1,0,0,0,360.0,1.0,1,1,4.7535901911063645,8.426830751335846
1,1,3,0,0,360.0,1.0,1,1,4.8283137373023015,8.418918622147897
1,1,2,1,0,360.0,1.0,0,1,4.859812404361672,8.554874258383926
0,0,0,0,0,360.0,1.0,0,1,4.890349128221754,8.72453251118548
1,1,3,0,0,360.0,1.0,0,1,5.707110264748875,9.61587214452889
1,1,1,0,1,360.0,0.0,0,0,5.932245187448011,9.521494800613105
1,0,0,0,0,360.0,0.0,0,1,4.875197323201151,8.500657222776137
1,1,0,0,1,360.0,1.0,1,1,5.220355825078324,8.984568369308281
0,1,0,0,0,360.0,1.0,2,0,4.709530201312334,8.82246957226897
0,0,0,0,0,360.0,1.0,2,1,4.219507705176107,7.824445930877619
1,0,1,0,0,360.0,1.0,2,1,4.770684624465665,8.728749873478527
1,0,0,0,0,360.0,1.0,1,1,4.59511985013459,7.984803389734406
1,0,0,0,0,360.0,1.0,2,1,4.276666119016055,7.949444420250626
1,1,0,0,0,180.0,1.0,2,1,6.19644412779452,11.056240743970491
1,1,1,0,1,180.0,1.0,2,1,5.209486152841421,9.364519622823858
1,1,0,0,1,360.0,1.0,1,1,4.2626798770413155,9.20974019190415
1,1,1,0,0,360.0,1.0,0,1,5.081404364984463,8.68929604801586
1,1,2,0,1,360.0,1.0,0,1,5.176149732573829,8.867990898182093
0,0,3,1,0,360.0,0.0,2,0,4.859812404361672,7.5126175446745105
0,0,0,0,0,360.0,1.0,1,1,4.276666119016055,8.333510708982942
1,1,3,1,0,360.0,1.0,0,0,5.159055299214529,8.351138607086154
0,0,0,0,0,360.0,1.0,0,0,3.8501476017100584,7.774435510302958
1,1,1,1,0,360.0,1.0,2,1,5.0689042022202315,8.6628507638386
1,1,3,1,0,360.0,1.0,1,1,4.31748811353631,8.062747901086354
1,1,2,0,0,360.0,1.0,0,1,4.836281906951478,8.499843553081124
1,1,0,0,0,360.0,1.0,1,1,5.081404364984463,8.508757712595136
1,1,0,1,0,360.0,0.0,0,0,5.030437921392435,8.817890200945513
1,1,2,1,0,360.0,1.0,2,1,4.844187086458591,8.566364235422688
1,1,0,0,0,360.0,1.0,1,1,5.560681631015528,9.29807648628027
1,1,0,0,0,360.0,1.0,0,1,5.236441962829949,9.091106284052485
1,1,0,0,0,360.0,1.0,1,1,5.43372200355424,9.114269903225448
1,0,0,0,0,360.0,1.0,0,0,5.733341276897746,9.466376966592419
1,1,3,0,0,360.0,1.0,0,1,4.564348191467836,8.465899897028686
0,1,0,0,1,360.0,0.0,0,0,4.663439094112067,8.612685172875459
0,1,0,0,0,360.0,1.0,1,1,4.875197323201151,7.982416346827733
0,0,0,0,0,180.0,1.0,2,1,4.762173934797756,8.246433786160365
1,1,2,0,0,360.0,1.0,0,1,5.111987788356544,9.350189267092581
1,1,1,0,0,360.0,1.0,2,0,4.219507705176107,8.262558973010657
1,1,0,1,0,480.0,0.0,2,0,4.61512051684126,8.448271745949816
1,1,3,0,0,360.0,1.0,1,1,5.303304908059076,9.028218795184895
0,0,1,0,0,360.0,1.0,1,0,4.406719247264253,8.460411177317253
1,1,2,0,0,360.0,1.0,1,1,5.4680601411351315,9.067393362656249
1,1,0,0,0,360.0,1.0,2,1,4.875197323201151,8.865593998902725
